Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:07:16   0.5   0.0   0.6  98.9   0.0    2   4173   1841    3    0    3  12.51 
22:07:17   1.3   0.1   0.9  97.2   0.6    2   4712   2360   15    8   10   9.85 
22:07:18  16.0   0.1   2.3  81.1   0.6    7  22392   5931    9    3    6 108.25 
22:07:19  29.7   0.0   0.5  69.8   0.0    7  32611   9013    3    3    3 178.22 
22:07:20  30.0   0.0   0.6  69.5   0.0    7  51329  10198    3    3    3 147.31 
22:07:21  31.6   0.0   1.4  67.1   0.0    8  57135  13243    4    3    3 154.36 
22:07:22  31.2   0.0   0.9  67.9   0.0    9  57504  13021    4    3    3 155.56 
22:07:23  30.9   0.0   1.2  67.3   0.6    7  53207  12740    5    3    4 154.21 
22:07:24  29.8   0.0   0.4  69.8   0.1    7  47448   9127    3    3    3 144.81 
22:07:25  30.5   0.1   0.7  68.8   0.0    8  52213  11333    5    3    5 152.76 
22:07:26  30.5   0.0   1.0  68.6   0.0    7  54063  11713    4    3    5 155.14 
22:07:27  30.7   0.0   1.1  68.2   0.0    7  55128  12632    3    3    3 156.77 
22:07:28  30.1   0.0   0.6  66.7   2.6    2  52599  10330    3    3    9 152.64 
22:07:29  29.3   0.0   0.4  70.3   0.0    7  43389   7915    3    3    3 142.74 
22:07:30  29.6   0.0   0.4  70.1   0.0    7  43492   7864    3    3    3 141.58 
22:07:31  29.3   0.1   0.4  70.3   0.0    7  43299   7485    3    3    3 142.13 
22:07:32  29.4   0.0   0.3  70.3   0.0    7  43486   7719    3    3    3 141.41 
22:07:33  29.7   0.0   0.4  69.2   0.7    8  44139   8211   11    5    5 143.44 
22:07:34  29.3   0.0   0.4  70.4   0.0    7  43510   8157    5    3   11 144.08 
22:07:35  29.6   0.0   0.2  70.2   0.0    7  43400   8087    3    3    3 145.26 
22:07:36  29.4   0.1   0.4  70.2   0.0    7  43510   7927    3    3    4 143.28 
22:07:37  29.3   0.0   0.4  70.3   0.0    7  42904   7881    3    3    3 144.17 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:07:38  29.5   0.0   0.3  69.4   0.9    7  43182   7851    3    3    3 144.24 
22:07:39  29.6   0.0   0.3  70.2   0.0    7  42841   7940    3    3    3 144.58 
22:07:40  29.3   0.0   0.4  70.3   0.0    7  43143   7762    3    3    3 143.37 
22:07:41  29.3   0.0   0.4  70.2   0.1    7  43157   7967    3    3    3 144.14 
22:07:42  29.3   0.0   0.3  70.4   0.0    7  43294   7865    3    3    4 145.20 
