Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
01:27:42   0.8   0.3   0.9  93.9   4.2    4   5421   2657   19    8    9  15.63 
01:27:43  14.1   0.1   2.4  82.7   0.8    9  22839   5760    9    3    6  98.92 
01:27:44  29.7   0.1   0.4  69.9   0.0    7  28970   8771    3    3    3 179.82 
01:27:45  29.4   0.0   0.4  70.2   0.0    7  43654   7798    3    3    3 139.01 
01:27:46  29.7   0.0   0.3  70.0   0.0    7  42802   7822    3    3    3 140.07 
01:27:47  29.5   0.0   0.3  70.3   0.0    7  43243   8042    3    3    3 140.72 
01:27:48  29.3   0.0   0.4  67.4   3.0    3  43602   8011    3    3    3 140.44 
01:27:49  29.6   0.0   0.3  70.1   0.0    7  43448   7972    3    3    3 140.82 
01:27:50  29.4   0.0   0.3  70.3   0.0    7  43615   8068    3    3    3 141.63 
01:27:51  29.4   0.0   0.4  70.3   0.0    7  43404   8017    4    3    4 142.43 
01:27:52  29.3   0.0   0.3  70.4   0.0    7  43721   8337    3    3    3 142.54 
01:27:53  29.4   0.0   0.4  68.8   1.5    7  43102   8180    4    3   10 142.50 
01:27:54  29.3   0.0   0.4  70.3   0.0    8  43601   8029    3    3    3 142.57 
01:27:55  29.4   0.0   0.4  70.2   0.0    7  42879   7866    3    3    3 143.32 
01:27:56  29.7   0.1   0.3  69.2   0.7    7  49707   9243    3    3    3 149.98 
01:27:57  30.2   0.0   0.7  69.1   0.1    7  48306  10251    4    3    4 152.77 
01:27:58  29.4   0.0   0.4  70.2   0.0    7  43002   7882    3    3    4 143.48 
01:27:59  29.5   0.0   0.4  70.1   0.0    7  43603   7967    3    3    3 144.42 
01:28:00  29.4   0.0   0.3  70.3   0.0    7  43538   8219    3    3    3 146.09 
01:28:01  29.6   0.0   0.3  68.8   1.4    7  42631   7556    3    3    6 144.45 
01:28:02  29.3   0.0   0.2  70.5   0.0    7  40197   7055    3    3    3 142.75 
01:28:03  29.3   0.0   0.3  70.4   0.0    7  40381   7148    3    3    3 142.33 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
01:28:04  29.2   0.0   0.3  70.5   0.0    7  40511   7294    3    3    3 142.38 
01:28:05  29.2   0.0   0.3  70.5   0.0    7  40161   6967    3    3    3 142.93 
01:28:06  29.1   0.0   0.3  70.1   0.6    7  40116   6934    3    3    3 143.09 
01:28:07  29.4   0.0   0.2  68.3   2.0    7  40135   6990    3    3    3 143.20 
01:28:08   8.9   0.3   3.1  86.1   1.7    7  14948   3851   23    7   13  82.07 
