prompt_index;avg_power_W;max_power_W;duration_s;energy_Wh
0;167.668;198.640;33;1.536957
1;150.638;186.990;70;2.929072
2;149.464;187.760;49;2.034371
3;147.083;187.510;117;4.780197
4;152.917;186.820;43;1.826509
5;150.714;187.250;88;3.684120
6;148.111;187.860;52;2.139381
7;143.632;189.530;1426;56.894231
8;140.068;151.300;546;21.243647
9;140.790;165.020;37;1.447008
10;134.290;181.920;13;0.484936
11;137.125;171.430;27;1.028437
12;142.229;185.390;8;0.316064
13;143.073;192.600;25;0.993563
14;140.884;172.160;1129;44.182788
0;145.479;174.190;20;0.808217
1;139.521;162.830;40;1.550233
2;141.673;176.430;44;1.731559
3;147.951;200.510;19;0.780852
4;142.970;183.290;37;1.469414
5;141.120;155.390;1130;44.296000
6;141.720;178.500;7;0.275567
7;140.661;167.210;1129;44.112853
8;137.300;157.530;10;0.381389
9;140.269;154.520;1129;43.989917
10;145.012;161.830;19;0.765341
11;140.069;155.840;1128;43.888287
12;137.886;160.890;14;0.536223
13;137.555;153.420;9;0.343888
14;141.228;174.110;1129;44.290670
0;141.008;151.930;21;0.822547
1;139.809;148.420;33;1.281583
2;141.714;148.920;18;0.708570
3;139.774;175.040;30;1.164783
4;140.697;162.050;26;1.016145
5;140.470;172.360;1129;44.052953
6;142.435;174.280;32;1.266089
7;139.104;172.520;22;0.850080
8;140.468;172.860;1129;44.052326
9;136.086;148.380;40;1.512067
10;140.413;172.510;1128;43.996073
11;133.829;148.560;7;0.260223
12;137.948;186.880;31;1.187886
13;140.682;186.130;53;2.071152
14;138.969;172.810;63;2.431958
0;138.209;194.660;48;1.842787
1;138.612;162.700;49;1.886663
2;137.687;156.340;33;1.262131
3;137.650;177.570;17;0.650014
4;138.639;187.260;31;1.193836
5;139.325;166.510;1130;43.732569
6;138.671;150.370;1130;43.527286
7;134.976;173.020;10;0.374933
8;138.499;162.120;1130;43.473297
9;138.675;154.310;1129;43.490021
10;138.780;151.370;1129;43.522950
11;138.761;152.280;1128;43.478447
12;139.009;174.370;1128;43.556153
13;137.168;162.060;197;7.506138
14;144.400;175.470;11;0.441222
0;139.321;182.710;9;0.348302
1;135.839;154.790;34;1.282924
2;135.191;161.440;44;1.652334
3;147.606;198.570;17;0.697028
4;137.335;178.770;34;1.297053
5;140.406;179.400;1132;44.149887
6;148.340;172.790;673;27.731339
7;151.912;162.320;13;0.548571
8;140.664;162.480;18;0.703320
9;142.400;163.410;20;0.791111
10;146.993;161.010;8;0.326651
11;144.256;175.800;51;2.043627
12;135.694;161.850;8;0.301542
13;147.545;170.010;8;0.327878
14;138.616;171.880;10;0.385044
0;140.230;182.180;25;0.973819
1;143.247;166.640;25;0.994771
2;144.107;161.490;7;0.280208
3;141.979;187.510;53;2.090246
4;136.676;171.100;13;0.493552
5;145.835;175.550;1141;46.221593
6;144.274;169.310;23;0.921751
7;138.770;171.220;4;0.154189
8;148.733;168.690;1140;47.098783
9;146.744;164.020;26;1.059818
10;146.769;168.740;110;4.484608
11;148.911;172.490;1139;47.113786
12;149.055;167.440;1138;47.117942
13;153.213;170.310;11;0.468151
14;141.995;162.170;37;1.459393
0;145.000;178.510;23;0.926389
1;145.060;162.500;32;1.289422
2;139.745;163.680;32;1.242178
3;145.614;178.030;43;1.739278
4;149.135;189.410;20;0.828528
5;122.530;162.650;4;0.136144
6;133.879;148.360;13;0.483452
7;133.948;162.180;5;0.186039
8;135.820;169.610;6;0.226367
9;137.159;146.190;82;3.124177
10;137.382;172.130;26;0.992203
11;137.483;177.320;36;1.374830
12;145.979;189.080;11;0.446047
13;144.519;186.300;58;2.328362
14;129.192;146.050;7;0.251207
0;137.443;180.490;23;0.878108
1;133.694;179.480;12;0.445647
2;138.896;188.460;24;0.925973
3;150.356;188.710;17;0.710014
4;135.755;159.430;25;0.942743
5;135.758;174.740;13;0.490237
6;145.364;167.570;1138;45.951176
7;148.819;166.960;1141;47.167355
8;140.936;163.400;17;0.665531
9;148.912;167.690;1140;47.155467
10;126.426;149.950;10;0.351183
11;144.103;179.450;8;0.320229
12;153.222;174.980;9;0.383055
13;140.878;162.650;33;1.291382
14;142.362;167.910;5;0.197725
0;144.571;173.340;66;2.650468
1;147.751;179.930;18;0.738755
2;144.378;164.200;30;1.203150
3;142.067;173.660;16;0.631409
4;151.998;168.300;17;0.717768
5;148.685;169.150;1141;47.124885
6;145.548;168.100;62;2.506660
7;149.032;169.100;1141;47.234864
8;137.150;165.040;5;0.190486
9;148.490;174.920;1139;46.980586
10;139.082;168.500;1129;43.617661
