Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:08:19  29.3   0.3   0.4  67.8   2.3    8  43755   8097    5    0    5 150.78 
22:08:20  30.2   0.1   0.6  68.4   0.7    9  44042   8270   16    8   10 149.58 
22:08:21  42.4   0.1   3.1  54.4   0.0   12  51911  12545    9    3    7 169.58 
22:08:22  57.8   0.0   0.6  41.6   0.0   13  48205  15417    3    3    3 216.09 
22:08:23  58.3   0.0   0.5  41.3   0.0   14  47613  15667    3    3    3 223.71 
22:08:24  58.4   0.1   0.5  41.1   0.0   13  49552  15340    3    3    3 185.10 
22:08:25  58.5   0.0   0.5  40.9   0.2   13  50212  15496    3    3    3 184.42 
22:08:26  58.8   0.0   0.5  39.1   1.7   14  50076  15751    4    3    4 185.93 
22:08:27  58.4   0.0   0.6  41.0   0.0   13  50817  15623    3    3    3 185.27 
22:08:28  58.6   0.0   0.4  41.0   0.0   13  49953  15441    3    3    3 186.93 
22:08:29  58.4   0.0   0.6  41.0   0.0   14  50054  15386    3    3    3 186.41 
22:08:30  58.4   0.1   0.5  41.1   0.1   13  50305  16008    3    3    3 184.60 
22:08:31  58.3   0.0   0.6  40.9   0.2   13  50334  15558    3    3    9 186.29 
22:08:32  58.5   0.0   0.5  41.0   0.0   13  50808  15549    3    3    3 186.08 
22:08:33  58.5   0.0   0.4  41.2   0.0   10  51088  15468    3    3    3 186.36 
22:08:34  58.6   0.1   0.4  40.9   0.0   12  50342  15718    3    3    3 168.17 
22:08:35  58.4   0.0   0.5  41.1   0.1   13  51042  15660    3    3    3 156.80 
22:08:36  58.4   0.0   0.5  39.6   1.6   13  51259  15559    3    3    4 174.51 
22:08:37  58.7   0.0   0.4  40.9   0.0   14  50062  15616    3    3    3 166.37 
22:08:38  58.5   0.0   0.5  41.0   0.0   13  49198  15624    3    3    3 174.40 
22:08:39  58.4   0.1   0.4  41.1   0.0   13  51367  15443    3    3    3 167.35 
22:08:40  58.5   0.0   0.5  41.0   0.0   13  50164  15597    3    3    3 175.67 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:08:41  58.4   0.0   0.5  40.4   0.7   13  49892  15308    3    3    3 167.55 
22:08:42  58.6   0.0   0.5  40.9   0.0   13  50901  15644    3    3    3 156.50 
22:08:43  58.7   0.0   0.5  40.9   0.0   13  50860  15581    3    3    3 174.93 
22:08:44  58.4   0.1   0.4  41.2   0.0   13  50910  15711    3    3    3 167.74 
22:08:45  58.5   0.0   0.6  41.0   0.0   13  50951  15556    3    3    3 175.50 
22:08:46  58.4   0.0   0.6  40.9   0.2   13  49939  15593    3    3    3 168.43 
22:08:47  52.2   0.1   1.5  46.3   0.0    8  48145  15727    3    3    3 170.49 
22:08:48  29.5   0.4   0.5  68.6   1.1    7  44136   9066   13    4   10 142.12 
22:08:49  29.4   0.0   0.3  70.3   0.0    7  43241   7869    3    3    6 142.66 
22:08:50  29.5   0.0   0.3  70.2   0.0    7  42689   7602    3    3    3 151.16 
22:08:51  29.3   0.0   0.3  70.4   0.0    7  43036   7946    3    3    3 152.05 
22:08:52  29.3   0.0   0.3  66.4   4.0    7  44026   8095    3    3    3 137.72 
22:08:53  29.3   0.1   0.3  70.1   0.3    7  43084   7979    3    3    3 142.73 
22:08:54  29.4   0.0   0.4  70.2   0.0    7  42753   7657    3    3    3 151.09 
22:08:55   9.2   0.2   3.1  86.5   1.0    2  16019   5075   26   13   28  88.62 
22:08:56  26.2   0.0   0.9  72.9   0.0    8  29381   7451    9    3    7 168.85 
22:08:57  29.1   0.0   0.4  70.5   0.0    7  41415   7969    3    3    3 155.98 
22:08:58  29.4   0.0   0.3  70.3   0.0    7  43245   7873    3    3    3 151.29 
22:08:59  29.5   0.0   0.4  70.2   0.0    7  42841   7808    3    3    3 149.43 
22:09:00  29.4   0.0   0.3  68.8   1.5    7  43007   7919    3    3    3 150.16 
22:09:01  29.5   0.0   0.3  68.9   1.3    7  42857   7603    3    3    3 150.12 
22:09:02  29.4   0.0   0.3  70.3   0.0    7  42991   8103    3    3    3 150.99 
