Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:13:03   0.5   0.2   0.5  98.5   0.4    1   4145   1838    2    0    4  14.96 
16:13:04   1.1   0.2   0.7  97.4   0.6    2   4716   2320   15    8   10  11.77 
16:13:05  16.2   0.2   2.6  80.5   0.6    7  29624   7709   10    3    7 120.97 
16:13:06  31.7   0.1   0.9  66.8   0.5    8  38104  13008    4    3    3 194.86 
16:13:07  30.7   0.2   0.9  68.2   0.1    8  53647  11563    4    3    5 153.46 
16:13:08  31.5   0.2   1.2  67.1   0.0    4  51922  12670   18    5    7 156.65 
16:13:09  34.2   0.2   1.4  64.0   0.3    7  64411  15768   17    3   13 168.29 
16:13:10  31.7   0.2   1.1  67.1   0.0    7  55333  12709    3    3    3 161.53 
16:13:11  30.9   0.1   1.0  67.3   0.8   10  54039  11713    3    3    3 155.95 
16:13:12  30.5   0.2   0.8  68.6   0.0    7  51479  10831    3    3    3 153.84 
16:13:13  30.3   0.1   0.5  69.2   0.0    7  47758   9637    3    3    3 154.56 
16:13:14   8.6   0.5   3.5  84.8   2.6    7  23344   6436   31   13   28  87.71 
16:13:15  29.0   0.1   0.3  70.6   0.0    7  28154   7888    3    3    6 182.90 
16:13:16  29.8   0.2   0.3  69.7   0.1    7  45605   8690    3    3    3 149.33 
16:13:17  29.3   0.2   0.4  70.1   0.0    7  43362   7878    3    3    3 148.22 
16:13:18  29.6   0.1   0.5  69.7   0.2    7  44189   8619    4    3    4 150.87 
16:13:19  30.4   0.2   1.1  68.0   0.4    8  51435  12166    3    3    3 160.46 
16:13:20  30.0   0.2   0.7  66.7   2.5    8  51641  10718    3    3    3 160.12 
16:13:21  29.5   0.2   0.6  69.8   0.0    8  47782   9416    3    3    3 153.30 
16:13:22  30.4   0.2   1.0  68.4   0.0    7  49885  11575    3    3    3 160.41 
16:13:23  29.6   0.2   0.5  69.7   0.0    8  48187   9087    3    3    3 154.19 
16:13:24  30.3   0.2   0.8  68.5   0.3    4  52467  11464    3    3    6 162.48 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:13:25   9.2   0.3   3.8  81.9   4.8    5  27706   9306   32   14   34 100.51 
16:13:26  29.6   0.2   1.1  69.2   0.0    9  40649  12044    8    3    6 190.83 
16:13:27  31.2   0.1   1.1  67.7   0.0    7  52264  12666    3    3    4 178.85 
16:13:28  31.3   0.2   1.2  67.4   0.0    7  57891  12756    6    3    4 165.63 
16:13:29  30.9   0.2   1.1  67.2   0.7    7  55391  12257    5    3    3 165.38 
16:13:30  30.1   0.2   0.8  68.8   0.1    8  45462  10643    3    3    4 156.71 
16:13:31  30.5   0.3   0.8  68.5   0.0    8  46648  11285    3    3    3 160.71 
16:13:32  30.3   0.2   0.7  68.9   0.0    7  45238  10311    3    3    3 156.65 
16:13:33  30.1   0.1   0.8  69.0   0.0   10  44877  10399    3    3    3 158.38 
16:13:34  30.2   0.1   0.7  69.0   0.0    6  44695  10171    3    3    3 155.68 
16:13:35  30.2   0.2   0.8  68.0   0.9    7  44779  10668    4    3    4 159.71 
16:13:36  30.2   0.2   0.8  65.7   3.1    7  45245  10516    3    3    9 157.93 
16:13:37  30.1   0.1   0.9  68.9   0.0    7  45822  10235    3    3    3 156.11 
16:13:38  30.4   0.2   0.8  68.6   0.0    8  44909  10286    4    3    4 157.86 
16:13:39  29.9   0.2   0.7  69.2   0.0    8  44318   9765    1    0    1 155.15 
16:13:40  29.5   0.1   0.3  69.2   0.9    7  42660   7763    2    3    2 148.54 
16:13:41  29.3   0.2   0.3  69.2   1.0    7  42643   7773    3    3    5 149.47 
16:13:42  29.4   0.1   0.3  70.2   0.0    7  43222   7901    3    3    3 149.67 
16:13:43  29.4   0.2   0.2  70.3   0.0    7  43010   7980    3    3    3 149.94 
16:13:44  29.4   0.2   0.3  70.2   0.0    7  43181   7894    3    3    3 150.15 
16:13:45  29.5   0.1   0.2  69.3   1.0    7  43250   7889    3    3    4 149.75 
16:13:46  29.3   0.1   0.4  68.1   2.2    7  42644   7747    3    3    3 149.03 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:13:47  29.4   0.1   0.3  70.3   0.0    7  43032   7883    3    3    3 148.35 
16:13:48  29.2   0.2   0.4  70.3   0.0    7  43040   7802    4    3    4 148.51 
16:13:49  29.4   0.1   0.3  70.3   0.0    7  43162   7683    3    3    3 147.82 
16:13:50  29.2   0.2   0.4  69.4   0.9    7  43745   8156    3    3    3 148.01 
16:13:51  29.4   0.1   0.3  66.4   3.8    7  43070   7699    3    3    3 147.58 
16:13:52  29.3   0.2   0.3  70.0   0.3    7  42989   7807    3    3    3 148.95 
16:13:53  29.6   0.1   0.2  70.1   0.0    7  42893   7690    3    3    3 148.44 
16:13:54  29.3   0.1   0.3  70.3   0.0    7  43056   7841    3    3    3 148.86 
16:13:55  13.9   0.2   2.3  81.9   1.8    2  22344   5638   24   13   28 100.85 
16:13:56  23.6   0.4   1.4  73.2   1.6    7  22937   7360   18    4    6 158.69 
16:13:57  29.7   0.0   0.2  70.2   0.0    2  12494   8104    3    3    3 204.30 
16:13:58  29.4   0.2   0.3  70.2   0.0    7  43529   8102    4    3    4 150.19 
16:13:59  29.2   0.1   0.3  70.5   0.0    7  43345   7998    3    3    3 149.21 
16:14:00  29.4   0.1   0.3  70.2   0.0    7  43551   7987    3    3    3 149.99 
16:14:01  29.3   0.2   0.3  70.2   0.2    7  43546   8065    3    3    3 149.82 
16:14:02  29.3   0.2   0.3  70.2   0.0    7  43826   7824    7    6    7 147.92 
16:14:03  29.4   0.1   0.3  70.2   0.0    3  43351   7789    3    3    3 147.64 
16:14:04  29.4   0.2   0.3  70.2   0.0    7  43641   7920    3    3    3 148.70 
16:14:05  29.4   0.1   0.3  70.2   0.0    7  43077   7548    4    3    4 147.69 
16:14:06  29.4   0.2   0.2  65.0   5.3    7  43822   8048    3    3    9 149.71 
16:14:07  29.4   0.2   0.3  70.1   0.0    2  43432   7881    3    3    3 149.57 
16:14:08  29.4   0.2   0.3  70.2   0.0    7  43673   8021    4    3    4 148.56 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:14:09  29.4   0.2   0.3  70.2   0.0    7  43573   7992    3    3    3 149.26 
16:14:10  29.3   0.2   0.3  70.2   0.0    7  43434   7851    3    3    3 149.78 
16:14:11  29.3   0.2   0.3  69.0   1.3    7  43338   7892    3    3    5 148.09 
16:14:12  29.4   0.1   0.4  70.2   0.0    7  43169   7873    3    3    3 150.41 
16:14:13  29.1   0.2   0.4  70.4   0.0    4  43493   8034    3    3    3 150.19 
16:14:14  29.3   0.2   0.2  70.3   0.0    7  43430   7986    3    3    3 150.07 
16:14:15  29.3   0.2   0.4  70.2   0.0    7  43338   7833    3    3    3 147.64 
16:14:16  29.3   0.1   0.3  68.5   1.8    7  43620   7800    3    3    3 149.26 
16:14:17  29.5   0.2   0.2  67.4   2.8    7  43153   7850    3    3    3 149.41 
16:14:18  29.4   0.1   0.3  70.2   0.0    7  43219   7876    4    3    4 149.90 
16:14:19  29.5   0.1   0.2  70.2   0.0    7  42940   7671    3    3    3 148.31 
16:14:20  29.6   0.2   0.3  70.0   0.0    7  43264   7539    3    3    3 148.09 
16:14:21  29.2   0.1   0.2  69.6   0.9    7  43055   7559    3    3    3 147.88 
16:14:22  29.4   0.1   0.3  70.3   0.0    7  43331   7918    3    3    3 148.45 
16:14:23  29.2   0.2   0.4  70.3   0.0    5  43363   7866    3    3    3 148.97 
16:14:24  29.5   0.2   0.2  70.2   0.0    7  43493   7667    3    3    3 148.06 
16:14:25  29.3   0.1   0.3  70.3   0.0    3  43052   7703    3    3    3 147.97 
16:14:26  29.4   0.2   0.3  68.4   1.8    7  43408   7805    3    3    3 149.13 
16:14:27  29.3   0.2   0.3  68.9   1.4    8  43479   7877    3    3    3 148.75 
16:14:28  29.4   0.1   0.3  70.2   0.0    3  43093   7810    4    3    4 148.06 
16:14:29  29.4   0.2   0.2  70.3   0.0    7  43799   7908    3    3    3 147.49 
16:14:30  29.3   0.1   0.4  70.2   0.0    7  43264   7776    3    3    3 147.78 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:14:31  29.3   0.3   0.3  70.0   0.2    7  43691   8033    3    3    3 148.09 
16:14:32  29.3   0.2   0.3  70.2   0.0    7  43398   7918    3    3    3 149.69 
16:14:33  29.3   0.2   0.3  70.3   0.0    7  43471   7879    3    3    3 149.62 
16:14:34  29.4   0.2   0.3  70.2   0.0    7  42967   7914    3    3    3 149.97 
16:14:35  29.4   0.3   0.3  70.0   0.0    7  43352   7906    4    3    4 148.57 
16:14:36  29.4   0.2   0.3  69.6   0.6    7  43265   7728    3    3    3 148.84 
16:14:37  29.2   0.2   0.3  70.4   0.0    7  43510   7950    3    3    3 149.95 
16:14:38  29.5   0.1   0.3  70.2   0.0    7  43216   7802    4    3    4 148.73 
16:14:39  29.2   0.2   0.4  70.2   0.0    7  42947   7660    3    3    3 148.47 
16:14:40  29.4   0.1   0.3  70.3   0.0    7  44068   7896    3    3    3 149.49 
16:14:41  29.4   0.1   0.3  69.7   0.6    7  43434   7695    3    3    3 148.73 
16:14:42  29.3   0.2   0.3  70.3   0.0    7  43445   7731    3    3    3 148.50 
16:14:43  29.2   0.2   0.3  70.3   0.0    7  43388   7844    3    3    3 149.61 
16:14:44  29.6   0.1   0.3  70.1   0.0    2  43084   7561    3    3    3 148.46 
16:14:45  29.4   0.1   0.3  70.2   0.0    7  43122   7700    3    3    3 148.67 
16:14:46  29.5   0.1   0.3  68.8   1.4    7  43156   7658    3    3    3 148.81 
16:14:47  29.3   0.1   0.2  70.4   0.0    7  43060   7707    3    3    3 149.51 
16:14:48  29.4   0.2   0.3  70.2   0.0    3  43327   7961    4    3    4 147.73 
16:14:49  29.3   0.2   0.3  70.2   0.0    7  43171   7777    3    3    3 148.38 
16:14:50  29.3   0.1   0.3  70.3   0.0    7  44189   8201    3    3    3 149.44 
16:14:51  29.3   0.1   0.3  68.8   1.5    7  43115   7787    3    3    3 149.44 
16:14:52  29.2   0.2   0.3  69.1   1.4    7  43601   7887    3    3    3 150.69 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:14:53  29.3   0.2   0.3  70.3   0.0    7  43144   7936    3    3    3 149.23 
16:14:54  29.4   0.1   0.3  70.3   0.0    7  43045   7841    3    3    3 149.20 
16:14:55  29.3   0.1   0.4  70.2   0.0    7  43022   7895    3    3    3 149.98 
16:14:56  29.2   0.3   0.3  69.1   1.2    7  43786   7848    3    3    3 147.09 
16:14:57  29.4   0.1   0.5  70.1   0.0    2  44957   8279    3    3    3 150.84 
16:14:58  30.5   0.1   0.9  68.5   0.0    7  54562  12313    4    3    4 166.32 
16:14:59  31.0   0.2   1.0  67.9   0.0    8  52823  11731    3    3    3 163.93 
16:15:00  31.0   0.1   1.0  68.0   0.0    2  53048  12324    3    3    3 165.67 
16:15:01  29.7   0.2   0.7  69.2   0.3    6  53167  10089    5    3    3 159.34 
16:15:02  30.1   0.2   1.2  68.5   0.2    7  55867  12312    8    8   10 167.28 
16:15:03  30.7   0.2   1.0  68.1   0.1    7  57402  12442    3    3    3 168.10 
16:15:04  29.8   0.3   0.5  69.4   0.0   10  48655   9691    3    3    3 157.63 
16:15:05  31.6   0.2   1.1  67.1   0.0    7  59889  13948    5    3    6 170.03 
16:15:06  31.4   0.1   1.2  66.3   1.0    8  56206  13198    7    3   18 169.63 
16:15:07  30.6   0.2   0.9  68.3   0.0    8  56186  12033    5    3    4 167.64 
16:15:08  30.8   0.2   1.1  68.0   0.0    8  52594  12678    8    3    6 167.90 
16:15:09  30.5   0.2   0.8  68.6   0.0    8  51538  11417   13    3   15 164.50 
16:15:10  30.5   0.1   0.9  68.5   0.0    7  50905  11512    3    3    3 162.84 
16:15:11  29.6   0.1   0.3  69.8   0.2    7  43487   7864    3    3    3 151.42 
16:15:12  10.3   0.5   3.0  85.5   0.8    3  17358   6259   32   14   28  93.28 
16:15:13  27.4   0.1   0.6  71.9   0.0    7  26465   7387    8    3    5 174.47 
16:15:14  29.6   0.1   0.3  70.0   0.0    8  35195   7709    3    3    3 166.44 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:15:15  29.5   0.1   0.2  70.2   0.0    7  43017   7933    3    3    3 150.59 
16:15:16  29.6   0.2   0.3  70.0   0.0    7  42931   7958    3    3    3 149.55 
16:15:17  29.4   0.2   0.3  68.6   1.6    7  43208   8106    3    3    3 149.67 
16:15:18  29.4   0.2   0.3  69.9   0.3    2  43470   7959    4    3    4 149.01 
16:15:19  29.3   0.1   0.4  70.2   0.0    7  43111   7937    3    3    4 149.01 
16:15:20  29.3   0.2   0.3  70.3   0.0    7  43298   8002    3    3    3 148.22 
16:15:21  29.4   0.1   0.3  70.3   0.0    7  43490   8059    3    3    3 149.89 
16:15:22  29.3   0.1   0.3  68.7   1.6    7  42963   7985    3    3    5 149.75 
16:15:23  12.5   0.4   2.6  82.9   1.7    2  20584   5751   32   14   34  98.22 
16:15:24  24.7   0.1   0.9  74.3   0.0    2  31173   7018    8    3    7 157.30 
16:15:25   8.5   0.4   3.1  86.9   1.2    2  15824   5057   26   13   29  84.35 
16:15:26  28.7   0.1   0.5  70.8   0.0    6  33170   7673    8    3    6 177.06 
16:15:27  29.5   0.3   0.3  69.9   0.0    7  43318   8031    3    3    3 149.03 
16:15:28  29.6   0.1   0.2  70.1   0.0    7  43125   7802    4    3    4 149.39 
16:15:29  29.4   0.1   0.3  70.2   0.0    7  43066   7898    3    3    3 148.65 
16:15:30  29.6   0.1   0.2  69.5   0.6    7  43277   8008    3    3    3 149.62 
16:15:31  29.6   0.2   0.2  70.0   0.0    7  43386   7890    3    3    3 148.49 
16:15:32  29.5   0.1   0.3  70.2   0.0    7  43256   7838    3    3    3 148.85 
16:15:33  29.3   0.1   0.3  70.3   0.0    7  43366   7955    3    3    3 150.10 
16:15:34  29.5   0.1   0.3  70.2   0.0    7  43510   8021    3    3    3 150.22 
16:15:35  29.4   0.2   0.3  68.4   1.8    7  43239   8084    4    3    4 148.86 
16:15:36  29.4   0.1   0.3  67.9   2.3    7  43668   8100    3    3    9 149.83 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:15:37  29.5   0.1   0.3  70.1   0.0    7  43183   7806    3    3    3 148.72 
16:15:38  29.3   0.1   0.4  70.3   0.0    7  43389   7773    4    3    4 148.66 
16:15:39  29.3   0.2   0.3  70.2   0.0    7  43771   8035    3    3    3 149.32 
16:15:40  29.3   0.1   0.3  68.6   1.7    7  43891   8073    3    3    3 148.99 
16:15:41  29.5   0.1   0.3  69.2   1.0    7  43225   8056    3    3    4 149.11 
16:15:42  29.4   0.2   0.3  70.2   0.0    7  43295   7958    3    3    3 148.56 
16:15:43  29.7   0.1   0.4  69.8   0.1    8  47066   8935    3    3    3 153.87 
16:15:44  29.6   0.2   0.4  69.8   0.0    7  46015   8571    3    3    3 151.39 
