Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:34:37  28.9   0.4   0.2  70.0   0.6    7  37481   7204    3    0    3 154.11 
17:34:38  30.0   0.3   0.4  68.5   0.7    3  37294   7610   17    8   11 154.64 
17:34:39  42.3   0.4   2.8  54.0   0.6    7  45417  11397    8    3    6 172.91 
17:34:40  57.3   0.2   0.3  42.2   0.0   13  40610  18103    3    3    3 219.01 
17:34:41  57.3   0.3   0.2  42.2   0.0   14  42894  15608    3    3    3 194.12 
17:34:42  57.6   0.4   0.4  41.6   0.0   13  47443  14998    3    3    3 186.05 
17:34:43  57.8   0.6   0.3  41.3   0.0   13  45600  15958    3    3    3 187.61 
17:34:44  57.5   0.4   0.3  39.0   2.9    9  46954  13992    3    3    3 157.36 
17:34:45  57.5   0.3   0.3  41.9   0.0   12  46932  14114    3    3    3 155.68 
17:34:46  57.3   0.4   0.2  42.1   0.0   13  46827  14129    3    3    3 154.98 
17:34:47  56.3   0.4   0.5  42.9   0.0   13  44447  14284    3    3    3  58.17 
17:34:48  57.7   0.5   0.3  41.6   0.0   13  46575  14336    3    3    3 177.35 
17:34:49  58.0   0.3   0.3  40.8   0.6   13  46359  14056    3    3    9 183.64 
17:34:50  57.7   0.5   0.3  41.5   0.0   13  47024  14318    3    3    3 185.35 
17:34:51  57.8   0.5   0.3  41.4   0.1   13  46056  13921    3    3    3 184.93 
17:34:52  57.6   0.4   0.4  41.7   0.0   13  46622  14573    3    3    3 186.25 
17:34:53  47.3   0.4   1.7  50.6   0.0    9  42656  14755   21   13   27 173.57 
17:34:54  35.6   0.8   3.2  59.2   1.3   10  42711  14044   18    4    6 152.58 
17:34:55  57.4   0.2   0.4  42.1   0.0   13  42775  18067    3    3    3 197.81 
17:34:56  57.7   0.4   0.3  41.7   0.0   13  44884  20751    3    3    3 192.77 
17:34:57  57.8   0.4   0.4  41.5   0.0   13  46345  21589    3    3    3 188.15 
17:34:58  57.9   0.5   0.4  41.3   0.0   13  45630  17742    3    3    3 185.83 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:34:59  57.9   0.5   0.4  40.8   0.4   13  46614  17614    3    3    3 186.83 
17:35:00  57.7   0.4   0.3  41.7   0.0   13  46720  19020    3    3    5 184.04 
17:35:01  57.7   0.4   0.3  41.7   0.0   13  47180  17524    3    3    3 185.46 
17:35:02  57.8   0.6   0.3  41.2   0.2   14  45675  18184    6    5    6 184.00 
17:35:03  57.4   0.4   0.3  41.9   0.0   13  46740  18312    3    3    3 183.41 
17:35:04  57.9   0.5   0.3  41.4   0.0   13  46218  19486    3    3    9 182.81 
17:35:05  57.6   0.4   0.3  41.8   0.0    7  46530  14624    3    3    3 159.95 
17:35:06  57.3   0.4   0.4  41.4   0.5   13  47660  14344    3    3    3 157.58 
17:35:07  57.6   0.5   0.3  41.6   0.1   13  46103  13948    4    3    4 156.12 
17:35:08  56.2   0.4   0.5  43.0   0.0    8  45172  14255    3    3    3  59.96 
17:35:09  57.2   0.3   0.4  42.1   0.0   13  47032  14046    3    3    4 174.76 
17:35:10  57.8   0.6   0.3  41.4   0.0   13  46982  14107    3    3    3 185.87 
17:35:11  57.5   0.5   0.3  41.7   0.0   13  47012  14282    3    3    3 184.59 
17:35:12  57.8   0.4   0.2  39.9   1.7   13  46392  15190    3    3    3 186.46 
17:35:13  57.7   0.4   0.4  41.6   0.0   13  46306  20416    3    3    3 187.58 
17:35:14  58.0   0.4   0.3  41.3   0.0   13  46903  21139    3    3    3 188.51 
17:35:15  57.6   0.5   0.3  41.7   0.0   11  46927  18321    3    3    3 186.32 
17:35:16  57.7   0.5   0.2  41.6   0.0   13  45848  18545    3    3    3 184.48 
17:35:17  57.7   0.3   0.4  41.2   0.4   13  46799  19826    3    3    3 180.85 
17:35:18  58.2   0.4   0.2  40.8   0.5   13  46030  18684    3    3    3 182.13 
17:35:19  57.6   0.6   0.3  41.6   0.0   13  46333  19117    3    3    3 178.77 
17:35:20  57.8   0.4   0.3  41.6   0.0   13  45597  19661    3    3    3 178.28 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:35:21  57.6   0.4   0.3  41.7   0.0   13  46220  18684    3    3    3 180.06 
17:35:22  57.8   0.4   0.3  41.4   0.1   15  45746  18798    2    1    2 181.69 
17:35:23  57.8   0.5   0.3  41.5   0.0   14  46634  18786    1    2    1 181.38 
17:35:24  57.9   0.4   0.3  41.5   0.0    9  46380  19082    3    3    3 177.53 
17:35:25  58.0   0.5   0.3  41.2   0.0   13  46947  20033    3    3    3 180.24 
17:35:26  57.9   0.3   0.3  41.5   0.0   13  46110  14216    3    3    3 159.94 
17:35:27  57.3   0.5   0.3  42.0   0.0    9  46132  14170    3    3    3 157.96 
17:35:28  57.7   0.5   0.3  41.2   0.4   13  46656  14075    3    3    3 157.05 
17:35:29  56.3   0.4   0.4  43.0   0.0   13  44997  14274    3    3    3  62.78 
17:35:30  57.6   0.4   0.3  41.7   0.0   13  46169  14165    3    3    3 173.92 
17:35:31  57.8   0.3   0.3  41.5   0.0    8  45627  13992    3    3    3 185.86 
17:35:32  57.8   0.5   0.2  41.5   0.0   13  47466  15953    3    3    3 187.17 
17:35:33  57.5   0.4   0.3  41.4   0.4   13  47050  21439    3    3    3 188.45 
17:35:34  57.8   0.5   0.3  41.4   0.0   13  45714  20455    3    3    3 188.16 
17:35:35  58.0   0.4   0.4  41.3   0.0    7  45328  19431    7    6    7 183.38 
17:35:36  57.6   0.5   0.4  41.6   0.0   13  46869  19535    3    3    3 180.75 
