prompt_index;avg_power_W;max_power_W;duration_s;energy_Wh
0;126.698;173.010;8;0.281551
1;142.430;165.040;19;0.751714
2;141.313;176.830;13;0.510297
3;146.646;194.740;59;2.403365
4;147.356;187.910;35;1.432628
5;144.091;153.750;1130;45.228564
6;139.924;177.690;10;0.388678
7;137.212;148.800;39;1.486463
8;140.829;149.070;10;0.391192
9;140.696;149.540;70;2.735756
10;140.531;175.700;1127;43.994010
11;142.838;178.660;14;0.555481
12;139.552;182.140;47;1.821929
13;136.030;170.130;6;0.226717
14;133.960;148.440;6;0.223267
0;139.060;170.990;6;0.231767
1;139.099;179.700;16;0.618218
2;138.638;149.330;70;2.695739
3;140.390;195.190;49;1.910864
4;139.487;193.740;35;1.356124
5;140.023;165.950;1130;43.951664
6;138.869;149.560;59;2.275909
7;143.499;154.470;22;0.876938
8;138.127;173.030;30;1.151058
9;139.505;176.880;1035;40.107687
10;139.916;152.890;1129;43.879212
11;137.669;183.490;43;1.644380
12;136.834;170.600;7;0.266066
13;139.984;162.220;25;0.972111
14;136.019;148.150;16;0.604529
0;138.058;159.070;27;1.035435
1;134.145;148.140;6;0.223575
2;141.934;163.390;8;0.315409
3;139.196;185.570;81;3.131910
4;138.981;183.720;35;1.351204
5;139.678;153.050;1129;43.804573
6;138.028;162.440;43;1.648668
7;141.067;169.850;51;1.998449
8;141.503;155.380;9;0.353757
9;139.339;164.750;34;1.315979
10;139.938;179.370;69;2.682145
11;139.641;161.280;1127;43.715391
12;133.997;148.180;12;0.446657
13;148.654;190.820;14;0.578099
14;136.739;158.220;12;0.455797
0;136.386;158.500;23;0.871355
1;136.372;163.790;39;1.477363
2;139.480;162.240;53;2.053456
3;140.088;192.340;63;2.451540
4;137.232;155.520;23;0.876760
5;139.560;159.310;1130;43.806333
6;139.380;152.980;1128;43.672400
7;140.595;165.740;44;1.718383
8;137.135;171.000;30;1.142792
9;137.601;177.800;136;5.198260
10;133.480;147.870;8;0.296622
11;129.563;181.470;3;0.107969
12;139.502;179.460;80;3.100044
13;146.603;166.910;18;0.733015
14;131.795;146.860;9;0.329487
0;133.240;188.940;9;0.333100
1;129.285;144.670;6;0.215475
2;135.892;156.340;22;0.830451
3;138.055;197.290;48;1.840733
4;138.084;175.020;10;0.383567
5;139.336;172.230;1129;43.697318
6;129.448;147.320;6;0.215747
7;137.408;159.510;46;1.755769
8;112.975;141.800;2;0.062764
9;138.106;155.160;78;2.992297
10;139.242;151.440;1129;43.667838
11;132.901;175.920;10;0.369169
12;139.159;184.830;1127;43.564498
13;137.711;173.450;49;1.874400
14;139.243;157.290;14;0.541501
0;137.090;182.070;9;0.342725
1;140.285;173.030;48;1.870467
2;136.287;160.600;52;1.968590
3;138.658;167.840;83;3.196837
4;135.524;145.930;26;0.978784
5;139.558;163.510;1131;43.844472
6;139.001;152.280;1128;43.553647
7;135.182;141.490;56;2.102831
8;139.858;170.740;58;2.253268
9;133.531;149.480;8;0.296736
10;135.814;157.590;42;1.584497
11;136.626;167.260;5;0.189758
12;134.756;153.810;21;0.786077
13;138.178;177.560;368;14.124862
14;125.022;144.890;4;0.138913
0;136.103;156.630;38;1.436643
1;137.495;177.100;62;2.367969
2;143.075;165.750;25;0.993576
3;138.384;188.390;67;2.575480
4;136.775;188.480;45;1.709688
5;139.042;169.220;1130;43.643739
6;135.770;148.170;28;1.055989
7;139.323;157.720;1130;43.731942
8;126.130;157.860;4;0.140144
9;138.778;152.770;106;4.086241
10;139.177;171.860;1129;43.647454
11;137.430;169.160;25;0.954375
12;135.328;173.540;22;0.827004
13;131.516;159.050;9;0.328790
14;138.450;149.500;60;2.307500
0;132.664;156.300;7;0.257958
1;137.944;177.780;44;1.685982
2;136.797;158.460;21;0.797983
3;139.139;196.160;61;2.357633
4;138.113;151.200;29;1.112577
5;139.526;169.420;1129;43.756904
6;134.321;164.690;7;0.261180
7;138.949;148.890;88;3.396531
8;138.733;148.830;20;0.770739
9;139.968;172.460;1129;43.895520
10;134.986;148.100;15;0.562442
11;131.715;169.070;6;0.219525
12;137.205;174.900;4;0.152450
13;139.235;163.610;150;5.801458
14;134.958;171.320;12;0.449860
0;136.959;171.060;10;0.380442
1;140.226;159.370;16;0.623227
2;137.186;166.450;24;0.914573
3;140.576;198.680;62;2.421031
4;138.000;152.760;45;1.725000
5;139.552;151.290;1130;43.803822
6;139.808;166.000;1129;43.845342
7;135.752;159.510;10;0.377089
8;111.530;155.890;2;0.061961
9;142.405;174.780;36;1.424050
10;139.725;171.170;1128;43.780500
11;139.662;148.630;64;2.482880
12;140.194;174.310;1128;43.927453
13;138.462;164.870;17;0.653848
14;129.884;163.600;5;0.180394
0;133.478;168.130;5;0.185386
1;138.433;174.500;5;0.192268
2;139.017;148.560;35;1.351554
3;141.229;165.450;55;2.157665
4;140.039;153.860;30;1.166992
5;140.512;156.050;1130;44.105156
6;140.071;174.200;1129;43.927822
7;137.422;148.960;24;0.916147
8;127.052;147.160;4;0.141169
9;140.440;155.550;154;6.007711
10;123.953;151.890;3;0.103294
11;140.813;179.750;1128;44.121407
12;142.042;182.230;51;2.012262
13;140.094;148.700;10;0.389150
14;140.505;173.180;79;3.083304
0;139.486;174.540;22;0.852414
1;139.916;174.210;28;1.088236
2;139.152;168.640;19;0.734413
3;143.027;197.240;61;2.423513
4;139.542;169.170;39;1.511705
5;140.719;153.440;1130;44.170131
6;137.833;156.800;16;0.612591
7;95.540;95.540;2;0.053078
8;146.343;162.040;12;0.487810
9;144.333;169.040;9;0.360833
10;140.791;180.780;943;36.879420
11;140.704;176.660;1129;44.126338
