Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:36:00   0.7   0.3   0.7  94.9   3.4    1   6452   2333    4    0    2  13.04 
22:36:01   1.4   0.1   1.0  96.7   0.9    2   6989   2837   15    8   13  12.29 
22:36:02  16.4   0.1   2.4  80.8   0.4    7  22932   5853    9    3    6 112.72 
22:36:03  29.6   0.0   0.4  70.0   0.0    7  28923   8387    3    3    3 173.01 
22:36:04  29.5   0.0   0.5  70.1   0.0    2  50926   9401    3    3    3 147.08 
22:36:05  29.5   0.0   0.4  70.1   0.1    7  43504   7979    3    3    3 141.82 
22:36:06  29.2   0.0   0.5  70.3   0.0    1  44656   8378    3    3    3 142.74 
22:36:07  29.3   0.0   0.4  70.1   0.2    7  43756   8260    3    3    3 141.40 
22:36:08  29.2   0.0   0.4  70.4   0.0    4  43336   7961    3    3    3 142.52 
22:36:09  20.7   0.1   1.3  77.4   0.6    2  31131   6564   23   13   28 114.85 
22:36:10  16.5   0.1   2.3  76.3   4.9    9  23947   5879   11    3    3 115.91 
22:36:11  29.6   0.2   0.3  69.4   0.6    7  34670   8512    3    3    6 165.04 
22:36:12  29.5   0.0   0.3  70.2   0.0    7  43398   8036    3    3    3 142.70 
22:36:13  29.4   0.1   0.3  70.2   0.0    7  43227   8071    3    3    3 143.61 
22:36:14  29.4   0.0   0.3  70.3   0.0    8  43463   8147    3    3    3 143.34 
22:36:15  29.3   0.0   0.4  70.4   0.0    7  43563   7901    3    3    3 142.77 
22:36:16  29.3   0.0   0.4  70.1   0.2    7  43357   8033    3    3    3 144.24 
22:36:17  29.4   0.0   0.3  70.3   0.0    7  43384   7960    3    3    3 144.22 
22:36:18  29.2   0.0   0.4  70.4   0.0    7  43390   7824    3    3    3 144.37 
22:36:19  29.6   0.0   0.2  70.2   0.0    7  43247   7988    3    3    3 145.93 
22:36:20  29.4   0.0   0.3  70.3   0.0    7  43322   8171    3    3    3 144.76 
22:36:21  29.5   0.0   0.3  68.9   1.4    7  43565   8372    3    3    9 145.30 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:36:22  29.4   0.0   0.4  70.3   0.0    7  42781   7822    3    3    3 144.79 
22:36:23  29.4   0.1   0.3  70.3   0.0    7  43301   7949    3    3    3 145.53 
22:36:24  29.3   0.0   0.4  70.3   0.0    7  43602   7964    3    3    3 146.44 
22:36:25  29.3   0.0   0.4  70.3   0.0    7  43686   7863    3    3    3 144.75 
22:36:26  29.4   0.0   0.3  67.1   3.3    7  43218   7697    3    3    7 145.19 
22:36:27  22.5   0.0   1.3  76.0   0.3    2  30753   6128   24   13   29 123.62 
22:36:28  14.3   0.3   2.3  81.5   1.7    8  19169   4844   17    4    5 106.19 
22:36:29  29.5   0.0   0.1  70.4   0.0    7  23987   7061    3    3    3 176.83 
22:36:30  29.3   0.0   0.2  70.5   0.0    7  40749   7354    3    3    3 144.02 
22:36:31  29.3   0.0   0.2  70.6   0.0    7  40400   7085    3    3    3 143.14 
22:36:32  29.2   0.0   0.3  70.6   0.0    7  40578   6973    4    3    3 143.91 
22:36:33  29.2   0.0   0.2  69.6   1.1    9  40080   6922    3    3    3 143.78 
22:36:34  29.2   0.1   0.2  70.5   0.0    7  40025   6792    0    0    0 143.30 
22:36:35  29.4   0.0   0.2  70.5   0.0    7  39834   6901    3    3    3 143.88 
22:36:36  29.4   0.0   0.2  70.4   0.0    7  40364   6868    3    3    3 143.95 
22:36:37  29.2   0.0   0.2  70.6   0.0    7  39891   6804    3    3    3 143.60 
22:36:38  29.2   0.0   0.2  70.3   0.4    7  39968   6931    3    3    9 143.81 
22:36:39  27.0   0.0   0.6  72.4   0.0    2  36417   6454    3    3    3 137.04 
22:36:40  10.1   0.3   2.8  86.2   0.7    2  16162   4441   37   14   31  87.35 
22:36:41  29.5   0.0   0.1  70.4   0.0    7   9450   6922    3    3    3 194.74 
22:36:42  29.3   0.0   0.1  70.6   0.0    7  25718   6848    3    3    3 168.94 
22:36:43  29.3   0.0   0.3  70.5   0.0    7  40610   6948    3    3    3 145.09 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:36:44  29.4   0.0   0.2  69.2   1.3    7  40454   6923    4    3    3 146.25 
22:36:45  29.6   0.0   0.2  68.5   1.8    7  40182   6940    3    3    3 146.00 
22:36:46  29.2   0.0   0.2  70.6   0.0    7  40178   6788    3    3    3 145.59 
22:36:47  29.3   0.1   0.2  70.5   0.0    7  40100   6916    3    3    3 145.90 
22:36:48  29.4   0.0   0.2  70.5   0.0    7  40452   6826    3    3    3 145.68 
22:36:49  29.3   0.0   0.2  70.5   0.0    7  40187   6814    3    3    3 145.74 
22:36:50  29.3   0.0   0.2  70.4   0.2    7  40464   6848    3    3    9 145.61 
22:36:51  29.2   0.0   0.2  70.6   0.0    7  40066   6993    3    3    3 145.70 
22:36:52  29.3   0.0   0.2  70.5   0.0    3  40590   7016    3    3    3 146.06 
22:36:53  29.1   0.1   0.2  70.7   0.0    7  40299   6788    3    3    3 145.98 
22:36:54  29.3   0.0   0.2  70.5   0.0    7  40206   6818    3    3    3 145.52 
22:36:55  29.4   0.0   0.2  70.3   0.2    5  40129   6863    3    3    4 146.17 
22:36:56  29.2   0.0   0.2  70.6   0.0    7  40252   6696    3    3    3 146.15 
22:36:57  29.3   0.0   0.2  70.5   0.0    7  40698   6936    4    3    4 146.43 
22:36:58  29.3   0.0   0.2  70.5   0.0    2  40209   6854    3    3    3 146.61 
22:36:59  29.2   0.0   0.2  70.6   0.0    8  40457   7106    7    6    7 146.87 
22:37:00  29.1   0.0   0.3  70.7   0.0    6  40587   6987    3    3    4 146.52 
22:37:01  29.1   0.0   0.3  66.6   4.0    7  40658   6952    3    3    3 145.20 
22:37:02  29.3   0.0   0.2  70.6   0.0    7  40290   6841    3    3    3 146.34 
22:37:03  29.1   0.0   0.2  70.7   0.0    7  40307   6856    3    3    3 146.00 
22:37:04  29.2   0.0   0.2  70.6   0.1    2  40250   6804    3    3    3 146.31 
22:37:05  29.2   0.0   0.3  70.6   0.0    7  40297   6771    3    3    3 146.48 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:37:06  29.2   0.1   0.3  67.9   2.6    5  40193   6828    3    3    3 146.54 
22:37:07  29.3   0.0   0.2  69.4   1.2    7  40144   6863    3    3    3 146.88 
22:37:08  29.5   0.0   0.1  70.4   0.0    7  40513   6843    3    3    3 146.40 
22:37:09  29.1   0.0   0.2  70.7   0.0    2  40080   6739    3    3    3 146.52 
22:37:10  29.2   0.0   0.3  70.6   0.0    7  40034   6973    3    3    3 145.80 
22:37:11  29.3   0.0   0.2  70.3   0.2    7  40300   6837    3    3    3 146.57 
22:37:12  29.2   0.0   0.2  70.6   0.0    7  40300   6804    3    3    3 146.28 
22:37:13  29.3   0.0   0.2  70.6   0.0    7  40356   6765    3    3    3 146.75 
22:37:14  29.4   0.0   0.1  70.4   0.0    7  40339   6871    3    3    3 146.71 
22:37:15  29.2   0.1   0.2  70.6   0.0    7  40356   6881    3    3    3 146.81 
22:37:16  29.3   0.0   0.1  70.5   0.1    7  40220   6927    3    3    3 146.55 
22:37:17  29.2   0.0   0.2  70.6   0.1    8  40294   6837    3    3    3 146.70 
22:37:18  29.2   0.0   0.3  70.6   0.0    2  40370   6859    3    3    3 146.46 
22:37:19  29.0   0.0   0.2  70.8   0.0    7  40550   6865    3    3    3 146.75 
22:37:20  29.3   0.0   0.2  70.6   0.0    7  40384   6747    3    3    3 147.31 
22:37:21  29.1   0.0   0.2  70.7   0.0    7  40083   6818    3    3    3 147.07 
22:37:22  29.2   0.0   0.2  70.4   0.2    7  40408   6880    3    3    3 146.80 
22:37:23  29.1   0.1   0.2  70.6   0.1    7  40367   6831    3    3    3 146.82 
22:37:24  29.1   0.0   0.2  70.7   0.0    7  40527   6821    3    3    3 146.32 
22:37:25  29.4   0.0   0.2  70.4   0.0    7  40184   6834    3    3    3 147.14 
22:37:26  29.0   0.0   0.2  70.8   0.0    7  40469   6889    3    3    3 146.30 
22:37:27  29.1   0.0   0.2  70.6   0.1    7  39847   6906    4    3    4 147.28 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:37:28  29.2   0.0   0.2  70.6   0.0    7  40302   6775    3    3    3 147.01 
22:37:29  29.2   0.0   0.3  70.6   0.0    7  39988   6723    3    3    3 146.88 
22:37:30  29.4   0.0   0.1  70.5   0.1    7  41068   7186    3    3    3 147.10 
22:37:31  29.1   0.0   0.2  70.7   0.0    7  39903   6784    3    3    3 147.29 
22:37:32  29.2   0.0   0.2  70.5   0.2    7  40418   6780    3    3    3 146.62 
22:37:33  29.2   0.0   0.2  70.6   0.0    7  40260   6881    3    3    3 147.18 
22:37:34  29.4   0.0   0.2  70.5   0.0    7  40407   6837    3    3    3 147.07 
22:37:35  29.3   0.0   0.2  70.5   0.0    7  39917   6911    3    3    3 147.02 
22:37:36  23.5   0.1   1.1  75.3   0.0    3  32235   5931    9    6   14 129.97 
22:37:37  13.1   0.3   2.4  83.1   1.2    7  18324   4941   32   11   20 102.02 
22:37:38  29.4   0.0   0.2  70.4   0.0    7  19546   6684    3    3    3 187.91 
22:37:39  29.3   0.0   0.1  70.6   0.0    7  40421   6986    3    3    3 147.28 
22:37:40  29.2   0.0   0.2  70.6   0.0    7  40391   6893    3    3    3 146.97 
22:37:41  29.1   0.1   0.2  70.6   0.0    7  40185   6836    3    3    3 146.93 
22:37:42  29.2   0.0   0.2  70.2   0.4    7  40322   6863    3    3    3 147.26 
22:37:43  29.2   0.0   0.2  70.6   0.0    2  40520   6928    3    3    3 146.75 
22:37:44  29.2   0.0   0.3  70.5   0.0    7  40485   6885    3    3    3 147.46 
22:37:45  29.2   0.0   0.2  70.6   0.0    7  39981   6906    3    3    3 147.66 
22:37:46  29.4   0.0   0.1  70.4   0.1    2  40455   6977    3    3    3 147.37 
22:37:47  29.2   0.0   0.2  69.6   1.0    7  40463   7048    3    3    9 147.57 
22:37:48  29.3   0.0   0.2  65.8   4.7    7  40295   6811    3    3    3 147.09 
22:37:49  29.3   0.0   0.1  70.6   0.0    7  40263   6915    3    3    3 147.50 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:37:50  29.3   0.0   0.2  70.6   0.0    7  40367   6939    3    3    3 147.46 
22:37:51  29.2   0.0   0.1  70.7   0.0    7  40204   6801    3    3    3 148.01 
22:37:52  29.3   0.0   0.2  70.5   0.0    5  40190   6749    3    3    4 147.61 
22:37:53  29.1   0.1   0.2  67.7   3.0    7  40495   6887    3    3    3 147.15 
22:37:54  29.2   0.0   0.2  70.7   0.0    3  40154   6836    3    3    3 147.42 
22:37:55  29.3   0.0   0.2  70.5   0.0    7  40505   6848    3    3    3 147.40 
22:37:56  29.2   0.0   0.2  70.6   0.0    6  40449   6781    3    3    3 146.69 
22:37:57  29.4   0.0   0.2  70.5   0.0    7  40354   6913    4    3    4 147.46 
22:37:58  29.3   0.0   0.2  68.4   2.1    7  40624   6770    3    3    3 147.72 
22:37:59  29.3   0.0   0.2  70.5   0.0    7  40703   7214    7    6    7 148.17 
22:38:00  29.3   0.0   0.2  70.5   0.0    7  40564   6896    3    3    3 147.33 
