Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:35:41  57.3   0.4   0.3  42.0   0.0    8  47755  13895    3    3    3 157.44 
16:35:42  57.3   0.3   0.3  42.1   0.0   13  46976  13800    3    3    3 156.73 
16:35:43  56.9   0.4   0.4  42.1   0.2    8  45828  14007    3    3    3  93.06 
16:35:44  44.0   0.7   1.7  51.2   2.5    9  44350  13282   30   14   28 124.45 
16:35:45  42.9   0.5   2.6  53.9   0.2   13  46094  13681   10    3    5 177.44 
16:35:46  57.6   0.2   0.3  41.9   0.0   13  34824  19266    3    3    3 198.65 
16:35:47  57.4   0.1   0.3  42.2   0.0   13  36156  18007    3    3    3 183.63 
16:35:48  57.8   0.4   0.2  41.6   0.0   13  43077  18173    3    3    3 184.25 
16:35:49  58.2   0.5   0.3  41.0   0.0    9  45032  19671    3    3    3 181.41 
16:35:50  58.0   0.3   0.3  39.5   1.9   11  46455  19190    3    3    3 180.67 
16:35:51  57.8   0.4   0.3  41.5   0.0   13  47435  20010    3    3    3 179.41 
16:35:52  57.4   0.4   0.3  42.0   0.0   13  46837  18811    3    3    3 178.98 
16:35:53  57.2   0.5   0.4  42.0   0.0   13  45508  18815    3    3    3 177.86 
16:35:54  57.5   0.5   0.3  41.7   0.0   13  46688  19120    3    3    9 177.55 
16:35:55  58.1   0.4   0.3  40.3   1.0   13  46312  19282    3    3    3 175.15 
16:35:56  57.6   0.4   0.3  41.7   0.0   13  45791  18686    3    3    3 178.29 
16:35:57  57.4   0.5   0.3  41.8   0.0   13  47263  19031    3    3    3 176.21 
16:35:58  57.9   0.5   0.2  41.5   0.0   13  45621  19940    3    3    3 175.75 
16:35:59  57.6   0.4   0.3  41.7   0.0   13  46833  20003    3    3    3 177.48 
16:36:00  58.3   0.3   0.2  40.4   0.8   13  45393  20211    3    3    4 175.37 
16:36:01  57.7   0.6   0.3  41.4   0.0   13  47111  17179    3    3    3 165.63 
16:36:02  57.5   0.5   0.3  41.7   0.0   13  46179  14157    3    3    3 155.93 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:36:03  57.8   0.4   0.3  41.5   0.0   13  47059  14088    3    3    3 156.51 
16:36:04  56.9   0.3   0.2  42.5   0.0   13  45359  14307    3    3    3  95.29 
16:36:05  57.2   0.4   0.3  42.0   0.1   13  45739  14425    3    3    3 131.82 
16:36:06  57.6   0.5   0.3  41.7   0.0   13  45797  13937    3    3    3 184.12 
16:36:07  57.6   0.4   0.3  41.8   0.0   13  46748  17496    4    3    4 187.17 
16:36:08  58.0   0.4   0.3  41.4   0.0   12  46736  20676    3    3    3 188.56 
16:36:09  57.7   0.4   0.3  41.7   0.0   14  46890  19896    3    3    3 184.77 
16:36:10  58.4   0.6   0.3  40.2   0.7   14  44656  18884    3    3    3 181.06 
16:36:11  57.5   0.4   0.4  41.8   0.0   13  47764  19760    3    3    3 178.40 
16:36:12  57.9   0.4   0.3  41.2   0.3   11  46080  18918    3    3    3 179.89 
16:36:13  57.7   0.4   0.4  40.1   1.5   13  47083  18701    3    3    3 178.44 
16:36:14  57.7   0.5   0.4  41.4   0.0   13  46515  18951    3    3    3 176.26 
