Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:17:30  29.2   0.3   0.4  68.3   1.8    8  44053   8637    4    0    4 152.61 
22:17:31  30.4   0.2   0.6  68.0   0.9    9  44524   8701   16    8   10 151.21 
22:17:32  42.9   0.1   3.1  53.9   0.0   15  51690  12706    8    3    6 170.53 
22:17:33  58.0   0.0   0.6  41.4   0.0   13  47660  15528    3    3    3 223.36 
22:17:34  58.5   0.0   0.5  41.0   0.0   15  48177  15624    3    3    3 214.31 
22:17:35  58.2   0.1   0.6  41.2   0.1    8  50793  15677    3    3    3 183.99 
22:17:36  58.6   0.0   0.5  40.9   0.0   13  50883  15571    3    3    3 185.37 
22:17:37  58.5   0.0   0.5  40.9   0.1   13  50119  15586    3    3    3 186.60 
22:17:38  58.4   0.0   0.6  41.1   0.0   14  50914  15516    3    3    3 185.69 
22:17:39  58.7   0.1   0.4  40.9   0.0   13  51071  15636    3    3    3 184.45 
22:17:40  58.5   0.0   0.5  41.0   0.0   13  49968  15315    3    3    3 185.31 
22:17:41  58.3   0.0   0.4  41.2   0.1   13  50581  15376    3    3    3 185.79 
22:17:42  58.6   0.0   0.6  40.8   0.0   15  50434  15607    3    3    9 186.46 
22:17:43  58.3   0.1   0.6  41.1   0.0   13  50744  15584    3    3    3 186.67 
22:17:44  58.4   0.0   0.6  41.1   0.0   13  50711  15603    3    3    3 186.08 
22:17:45  58.4   0.1   0.5  41.1   0.0   13  50420  15488    3    3    3 187.58 
22:17:46  58.7   0.0   0.5  40.8   0.0   14  50425  15602    3    3    3 178.95 
22:17:47  58.1   0.0   0.6  37.9   3.4   13  50450  15891    3    3    4 165.33 
22:17:48  58.6   0.0   0.5  40.8   0.1   13  50606  15703    3    3    3 178.07 
22:17:49  58.5   0.1   0.6  40.9   0.0   13  51126  15840    3    3    3 163.75 
22:17:50  58.6   0.0   0.5  40.9   0.0   18  50889  15814    3    3    3 178.05 
22:17:51  58.2   0.0   0.5  41.3   0.0   13  51242  15469    3    3    3 165.57 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:17:52  58.9   0.0   0.5  39.8   0.8   13  48953  15732    3    3    3 177.81 
22:17:53  58.3   0.0   0.4  41.3   0.0   13  50700  15704    3    3    3 165.32 
22:17:54  58.6   0.1   0.4  41.0   0.0   13  50405  15544    3    3    3 177.41 
22:17:55  58.5   0.0   0.5  41.0   0.0   13  50994  15519    3    3    3 165.92 
22:17:56  58.7   0.0   0.5  39.1   1.7   13  48667  15614    4    3    4 178.04 
22:17:57  58.5   0.0   0.4  41.1   0.0   13  50411  15453    3    3    3 165.14 
22:17:58  58.6   0.1   0.4  41.0   0.0   14  51198  15458    3    3    3 177.03 
22:17:59  58.3   0.0   0.5  41.2   0.0   13  50210  15412    3    3    3 156.87 
22:18:00  58.4   0.0   0.6  41.0   0.0   13  50863  15562    3    3    3 166.30 
22:18:01  58.4   0.0   0.4  40.5   0.8   13  51012  15571    3    3    3 177.12 
22:18:02  58.2   0.0   0.5  40.3   1.0   15  50556  15651    3    3    3 165.99 
22:18:03  58.4   0.0   0.5  41.1   0.0   13  49282  15403    3    3    3 178.39 
22:18:04  58.4   0.1   0.5  41.1   0.0   13  50603  15571    3    3    3 156.85 
22:18:05  58.1   0.0   0.6  41.3   0.0   13  51240  15358    3    3    3 165.05 
22:18:06  40.0   0.1   2.2  57.4   0.4    9  47209  12898   23   13   28 161.96 
22:18:07  44.2   0.4   3.0  51.1   1.3    9  52234  13865   18    4    6 161.69 
22:18:08  58.6   0.0   0.5  41.0   0.0   13  49383  18155    3    3    3 212.44 
22:18:09  58.4   0.0   0.5  41.1   0.0   13  49948  15994    3    3    3 172.72 
22:18:10  58.5   0.0   0.5  41.0   0.0   15  51119  15693    3    3    3 157.30 
22:18:11  58.2   0.0   0.6  41.2   0.0   13  50128  15662    3    3    3 127.94 
22:18:12  58.0   0.1   0.6  41.2   0.3    8  50381  16021    3    3    3  91.80 
22:18:13  58.6   0.0   0.5  40.9   0.0    8  50902  15850    3    3    3 184.87 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
22:18:14  58.4   0.0   0.5  41.2   0.0   15  50056  15550    3    3    3 186.05 
22:18:15  58.7   0.0   0.5  40.8   0.0   14  50152  15485    2    1    2 187.26 
22:18:16  58.8   0.0   0.4  40.9   0.0   14  50009  15441    1    2    1 188.21 
22:18:17  58.7   0.1   0.5  40.6   0.2   14  50535  15483    3    3    9 188.79 
