Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:18:05  29.4   0.3   0.3  69.8   0.1    7  43535   8093   11    1    4 152.80 
16:18:06  30.0   0.4   0.6  68.1   0.9    9  45183   8776   16    8   10 152.16 
16:18:07  42.3   0.4   3.1  53.7   0.6    8  51433  12747    8    3    6 171.29 
16:18:08  58.3   0.2   0.5  41.1   0.0    9  46613  17513    4    3    4 235.51 
16:18:09  58.4   0.4   0.5  40.8   0.0   14  47542  17803    3    3    3 207.51 
16:18:10  58.2   0.4   0.6  40.8   0.0   13  50555  15748    3    3    3 188.13 
16:18:11  58.2   0.5   0.7  40.7   0.0   13  51092  15763    3    3    3 187.81 
16:18:12  58.3   0.5   0.5  39.4   1.4    9  50553  15697    3    3    3 186.79 
16:18:13  35.5   0.5   1.5  62.0   0.6    7  45506  10446    5    3   10 164.42 
16:18:14  29.1   0.1   0.4  70.4   0.0    7  43371   8055    3    3    5 152.30 
16:18:15  29.1   0.1   0.5  70.3   0.0    7  43375   7906    3    3    3 150.86 
16:18:16  29.2   0.2   0.4  70.3   0.0    7  43034   8002    3    3    3 152.58 
16:18:17  29.3   0.1   0.4  70.3   0.0    7  42763   7849    3    3    3 150.61 
16:18:18  18.7   0.2   1.4  76.9   2.9    2  28563   6579   25   13   30 117.96 
16:18:19  16.9   0.3   2.4  78.0   2.5    7  23983   6103   11    3    7 124.90 
16:18:20  29.5   0.1   0.3  70.1   0.0    7  34201   7830    3    3    3 171.47 
16:18:21  29.4   0.1   0.4  70.2   0.0    7  42699   7477    3    3    3 150.50 
16:18:22  29.4   0.2   0.3  70.1   0.0    7  42989   7921    3    3    4 150.82 
16:18:23  29.5   0.1   0.2  70.2   0.0    7  43318   7868    3    3    3 150.33 
16:18:24  29.5   0.1   0.3  68.8   1.4    7  42914   7654    3    3    3 150.66 
16:18:25  29.5   0.1   0.4  70.1   0.0    7  42726   7746    3    3    3 150.73 
16:18:26  29.4   0.2   0.3  70.1   0.0    7  43061   7812    3    3    3 149.74 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:18:27  29.4   0.2   0.3  70.2   0.0    8  43362   7923    3    3    3 151.08 
16:18:28  29.4   0.2   0.3  70.2   0.0    7  43725   7842    4    3    4 150.70 
16:18:29  29.4   0.1   0.3  67.1   3.1    7  42747   7832    3    3    9 150.21 
16:18:30  29.4   0.2   0.3  70.2   0.0    8  42981   8097    3    3    3 150.55 
16:18:31  29.3   0.1   0.3  70.3   0.0    7  43211   8007    3    3    3 150.80 
16:18:32  22.0   0.2   1.3  76.2   0.3    2  33351   6940   23   13   28 127.38 
16:18:33  12.9   0.3   2.6  82.1   2.1    7  21257   5463   16    4    5 103.18 
16:18:34  29.7   0.1   0.2  70.1   0.0    8  25476   7911    3    3    3 187.71 
16:18:35  29.4   0.2   0.2  70.2   0.0    7  43661   8388    4    3    5 150.90 
16:18:36  29.2   0.2   0.4  70.2   0.0    7  43220   8122    3    3    3 150.13 
16:18:37  29.5   0.2   0.3  70.1   0.0    7  43823   8091    3    3    3 149.41 
